Date,Symbol,AVG Price,High,Low
2022-02-28,LUNA,72.797533114,73.498587597,71.652631467
2022-02-27,LUNA,75.520533746,77.695050541,72.106027306
2022-02-26,LUNA,74.981580783,78.477237745,73.095805443
2022-02-25,LUNA,67.196994367,72.674011122,64.916488208
2022-02-24,LUNA,56.826219803,64.607118278,51.604593371
2022-02-23,LUNA,57.828714621,60.329619146,55.198583968
2022-02-22,LUNA,51.570472835,54.371166723,48.971906068
2022-02-21,LUNA,51.468442017,53.257101664,49.628884988
2022-02-20,LUNA,49.141486832,50.305164155,47.644675095
2022-02-19,LUNA,51.183248508,52.626883968,50.370673194
2022-02-18,LUNA,50.745742289,51.694523212,49.689949475
2022-02-17,LUNA,54.612770601,56.438059934,50.803639609
2022-02-16,LUNA,56.467117083,57.923119459,55.669469513
2022-02-15,LUNA,55.691098064,56.574404226,54.071389968
2022-02-14,LUNA,52.85843803,54.206760445,51.8643802
2022-02-13,LUNA,52.727290118,53.524115585,51.427317597
2022-02-12,LUNA,51.647488199,53.057939046,50.154516919
2022-02-11,LUNA,53.143188942,54.422536503,50.429198799
2022-02-10,LUNA,55.608082877,57.052347505,52.699574933
2022-02-09,LUNA,56.494784758,57.72679589,54.873246303
2022-02-08,LUNA,57.253993818,59.289076349,55.500956506
2022-02-07,LUNA,57.59853873,60.124275995,54.953048875
2022-02-06,LUNA,55.182953679,56.751223166,53.896659503
2022-02-05,LUNA,56.129673179,57.558887655,54.071277916
2022-02-04,LUNA,51.281382864,52.851133654,49.708117894
2022-02-03,LUNA,48.646069196,50.780041714,47.353776164
2022-02-02,LUNA,51.183448283,53.01533552,47.970766396
2022-02-01,LUNA,52.213990543,53.575533021,51.202608391
2022-01-31,LUNA,47.484764895,51.516013952,43.814024672
2022-01-30,LUNA,49.210019797,50.952266995,46.102739729
2022-01-29,LUNA,51.772631414,53.053427968,50.747744008
2022-01-28,LUNA,51.334587377,54.653394922,48.609344852
2022-01-27,LUNA,57.715814491,60.77446034,52.640150925
2022-01-26,LUNA,62.768389117,65.259579279,58.574400882
2022-01-25,LUNA,64.553709188,65.816070807,62.99364963
2022-01-24,LUNA,64.831381076,68.7242118,60.71535434
2022-01-23,LUNA,67.124075055,69.063210708,64.630465036
2022-01-22,LUNA,61.984479088,65.163361059,57.433902004
2022-01-21,LUNA,74.079405627,78.980305085,64.240656214
2022-01-20,LUNA,81.96547948,84.316544641,77.122879202
2022-01-19,LUNA,79.492895118,81.419913594,76.409698977
2022-01-18,LUNA,77.256208516,80.753680875,75.014266783
2022-01-17,LUNA,81.810547455,86.677181565,76.956291472
2022-01-16,LUNA,86.005880885,87.08345406,84.950209544
2022-01-15,LUNA,83.411306237,87.398765772,80.775165124
2022-01-14,LUNA,79.951581263,82.451172853,77.434207691
2022-01-13,LUNA,81.095095609,83.215918962,78.510960949
2022-01-12,LUNA,76.990694744,82.078220745,73.006765114
2022-01-11,LUNA,72.186973702,73.955754872,68.849341845
2022-01-10,LUNA,70.681675287,73.574897001,67.285631624
2022-01-09,LUNA,71.308281696,75.025601311,66.806292709
2022-01-08,LUNA,68.531048035,70.935952636,63.276830992
