Date,Symbol,AVG Price,High,Low
2022-02-28,ETH,2635.805987086,2652.812390147,2609.757914951
2022-02-27,ETH,2729.566080136,2818.965312198,2605.824457444
2022-02-26,ETH,2790.101965502,2832.636743153,2753.116000243
2022-02-25,ETH,2662.506744939,2789.398725761,2594.682420016
2022-02-24,ETH,2462.17065732,2652.622204068,2337.04381066
2022-02-23,ETH,2667.464157726,2737.512205871,2603.508801894
2022-02-22,ETH,2579.076089438,2638.957821207,2516.24040006
2022-02-21,ETH,2680.727594392,2742.475790721,2583.663528624
2022-02-20,ETH,2656.242534966,2746.674123354,2598.153661466
2022-02-19,ETH,2773.876262776,2819.774292137,2720.402545809
2022-02-18,ETH,2861.444177909,2932.485575481,2776.455448273
2022-02-17,ETH,3024.264425746,3146.174861778,2887.242450982
2022-02-16,ETH,3126.728076497,3167.977815705,3067.174163523
2022-02-15,ETH,3073.474782417,3154.299854992,2927.469038059
2022-02-14,ETH,2893.618256796,2949.671197724,2852.769910993
2022-02-13,ETH,2912.175713158,2941.242085531,2857.064041021
2022-02-12,ETH,2927.30098128,2970.217715493,2882.581853633
2022-02-11,ETH,3054.726994113,3117.429199519,2912.438038071
2022-02-10,ETH,3187.392524539,3253.301008619,3095.367264174
2022-02-09,ETH,3156.356601271,3255.652029683,3079.424123416
2022-02-08,ETH,3111.857140671,3198.227524546,3049.412999866
2022-02-07,ETH,3096.646422627,3172.287946349,3015.006750557
2022-02-06,ETH,3008.159720451,3028.989589207,2980.282829715
2022-02-05,ETH,3011.905222066,3039.098234659,2976.570014209
2022-02-04,ETH,2832.567967768,2958.938908042,2682.056732195
2022-02-03,ETH,2643.709688612,2697.525098867,2598.671146189
2022-02-02,ETH,2736.405613013,2789.066411732,2659.16574721
2022-02-01,ETH,2754.371921925,2790.464721223,2688.803075527
2022-01-31,ETH,2583.332868745,2687.822194997,2501.47378224
2022-01-30,ETH,2597.515920767,2622.139922313,2562.834648116
2022-01-29,ETH,2563.469759027,2620.166501166,2534.173129401
2022-01-28,ETH,2440.448720055,2538.130915355,2383.19797192
2022-01-27,ETH,2424.598682644,2493.955906141,2343.234077032
2022-01-26,ETH,2514.215628123,2637.81400625,2429.109471119
2022-01-25,ETH,2423.36113285,2486.982850343,2371.516576468
2022-01-24,ETH,2366.431483461,2507.203044063,2202.749522105
2022-01-23,ETH,2456.666696628,2528.787446594,2405.658425303
2022-01-22,ETH,2468.657643645,2600.14209277,2347.730661871
2022-01-21,ETH,2820.869816947,3009.850703973,2560.57207811
2022-01-20,ETH,3154.124291585,3250.981821973,3030.966625727
2022-01-19,ETH,3118.527253571,3165.434155209,3061.345343936
2022-01-18,ETH,3164.045701886,3228.830056792,3103.691811658
2022-01-17,ETH,3257.902422865,3342.618551154,3179.378553494
2022-01-16,ETH,3332.896280865,3366.577317804,3309.293571883
2022-01-15,ETH,3325.7994648,3359.106745466,3294.434497409
2022-01-14,ETH,3272.956997781,3324.194798345,3216.152856908
2022-01-13,ETH,3326.492301862,3379.795614901,3257.351255609
2022-01-12,ETH,3299.849541294,3383.906656897,3223.859049337
2022-01-11,ETH,3149.313660019,3239.558165181,3072.48229971
2022-01-10,ETH,3102.136248138,3173.958450827,2998.815314896
2022-01-09,ETH,3136.780702564,3201.341276954,3090.286291808
2022-01-08,ETH,3170.463704182,3232.304251824,3033.483691956
2022-01-07,ETH,3235.706653778,3400.239811344,3162.233376827
2022-01-06,ETH,3434.49313659,3540.577444694,3350.307153784
2022-01-05,ETH,3764.805796974,3832.35268344,3528.805440622
2022-01-04,ETH,3794.213912314,3866.610223532,3730.902202971
2022-01-03,ETH,3789.898389035,3831.073471977,3714.938859936
2022-01-02,ETH,3769.200271143,3827.894527075,3734.201978078
2022-01-01,ETH,3730.423628018,3763.269140834,3702.230336207
2021-12-31,ETH,3739.396497358,3797.905637843,3653.160456677
2021-12-30,ETH,3705.81567427,3758.146670473,3640.884863765
2021-12-29,ETH,3776.102682454,3820.079727014,3664.407521348
2021-12-28,ETH,3896.085611933,4022.865582128,3795.417483046
2021-12-27,ETH,4075.128125624,4109.181274994,4045.689749364
2021-12-26,ETH,4057.403806536,4093.253447552,4023.395363133
2021-12-25,ETH,4069.04289922,4127.257166574,4042.258834759
2021-12-24,ETH,4092.849946245,4116.691539802,4047.717874209
2021-12-23,ETH,3991.688232665,4124.655968587,3923.200910931
2021-12-22,ETH,4016.453008975,4058.331220976,3958.902440998
2021-12-21,ETH,4001.888660634,4034.800432881,3930.057610048
2021-12-20,ETH,3860.828112905,3947.670227107,3786.660794495
2021-12-19,ETH,3946.282889293,4003.411490602,3914.971415218
2021-12-18,ETH,3921.107035702,3981.660355277,3804.022738707
2021-12-17,ETH,3889.965129586,3981.602817417,3763.365574374
2021-12-16,ETH,4037.071235003,4089.435238921,3984.447676584
2021-12-15,ETH,3865.601518658,4062.770596075,3680.23312489
2021-12-14,ETH,3797.552425987,3857.572870839,3735.995680052
2021-12-13,ETH,3928.576524884,4118.432008993,3746.617210736
2021-12-12,ETH,4068.260751139,4158.443940094,4006.494049206
2021-12-11,ETH,4020.245330103,4079.403580217,3918.00104065
2021-12-10,ETH,4082.052487785,4182.529173202,3947.74931595
2021-12-09,ETH,4285.847711445,4458.771289022,4102.903375825
2021-12-08,ETH,4356.940295735,4425.167539859,4264.212946283
2021-12-07,ETH,4352.318492395,4411.59838254,4285.564435574
2021-12-06,ETH,4134.404007433,4348.886424318,3965.36728511
2021-12-05,ETH,4162.744224849,4224.318424533,4081.394457529
2021-12-04,ETH,4017.062203073,4202.950781825,3810.936409262
2021-12-03,ETH,4463.254453489,4611.308897703,4173.914546637
2021-12-02,ETH,4538.259742823,4590.669708857,4468.42469787
2021-12-01,ETH,4692.821222862,4755.861965941,4560.70463705
2021-11-30,ETH,4542.544378638,4697.294652745,4391.660852357
2021-11-29,ETH,4359.791451338,4449.063203582,4308.329270503
2021-11-28,ETH,4090.511518456,4279.643702503,4030.467943317
2021-11-27,ETH,4121.705790391,4163.704596923,4060.084945924
2021-11-26,ETH,4204.945642416,4521.780299611,4004.64088037
2021-11-25,ETH,4400.151145379,4527.468914848,4281.166632007
2021-11-24,ETH,4266.107310062,4361.044963361,4205.971529275
2021-11-23,ETH,4219.885159706,4361.571983158,4106.368043198
2021-11-22,ETH,4179.802960675,4262.515627588,4059.633719356
2021-11-21,ETH,4356.892252474,4402.027460199,4320.146466839
2021-11-20,ETH,4317.747774094,4420.366877975,4230.564695722
2021-11-19,ETH,4163.944436569,4295.658478936,4005.190414928
2021-11-18,ETH,4173.648267265,4319.325886235,3979.486210829
2021-11-17,ETH,4205.758999061,4254.845029746,4138.724729257
2021-11-16,ETH,4304.993946904,4490.903994685,4203.981601597
2021-11-15,ETH,4665.477893221,4745.124874258,4560.139602531
2021-11-14,ETH,4602.160662085,4668.595611746,4532.889929156
2021-11-13,ETH,4644.337667879,4690.66356331,4604.564064386
2021-11-12,ETH,4672.728087511,4792.200804594,4556.969592378
2021-11-11,ETH,4697.645720546,4761.571630011,4598.864210898
2021-11-10,ETH,4733.439123405,4844.310954783,4594.348907155
2021-11-09,ETH,4789.789931049,4815.455265799,4736.977942317
2021-11-08,ETH,4742.224896235,4803.596936993,4660.336202513
2021-11-07,ETH,4584.683540088,4634.761930649,4522.164996122
2021-11-06,ETH,4460.225795823,4513.369452647,4363.665842174
2021-11-05,ETH,4507.529830675,4556.784194059,4472.773320062
2021-11-04,ETH,4529.608921443,4587.547662122,4466.177619598
2021-11-03,ETH,4577.696346077,4637.878976182,4498.012112524
2021-11-02,ETH,4430.326404737,4573.940449857,4313.531486779
2021-11-01,ETH,4304.953063924,4356.467003121,4210.461254253
2021-10-31,ETH,4285.293610406,4376.892383491,4201.184830508
2021-10-30,ETH,4328.436785545,4390.566410722,4280.426292232
2021-10-29,ETH,4365.666053599,4433.947589153,4299.860359099
2021-10-28,ETH,4126.002849715,4275.10197781,3945.291520685
2021-10-27,ETH,4069.666073759,4280.039721719,3957.40867268
2021-10-26,ETH,4205.177038932,4261.410958371,4131.532431373
2021-10-25,ETH,4157.199753455,4218.64577378,4098.973444315
2021-10-24,ETH,4076.79053496,4163.032381286,3989.920455151
2021-10-23,ETH,4048.653228441,4152.22071085,3972.876185855
2021-10-22,ETH,4064.262214548,4150.922950408,3951.820530047
2021-10-21,ETH,4160.723334163,4293.679738853,4067.968741634
2021-10-20,ETH,3962.31091085,4146.114700122,3842.527044779
2021-10-19,ETH,3807.003830417,3874.732404641,3758.80249139
2021-10-18,ETH,3796.208667597,3879.395499707,3722.341639104
2021-10-17,ETH,3839.405884344,3895.291525499,3715.717056276
